experiment_name,task,tn,fp,fn,tp,f1,precision,recall,mrr,h1,loss
simlarity_based,NCIT_TO_DOID,4568.6,121.4,459.2,478.8,0.6211588730466779,0.7979719598996053,0.5104477611940299,0.9252061009407043,0.8754797458648682,0.12209194898605347
simlarity_based,OMIM_TO_ORDO,3726.8,3.2,572.0,174.0,0.37621346952551954,0.9816704762045143,0.23324396782841825,0.8980026602745056,0.8364611268043518,0.12034166753292083
simlarity_based,SNOMED_TO_FMA_BODY,7259.8,0.2,670.0,782.0,0.6999510210950775,0.9997329773030706,0.5385674931129476,0.992215347290039,0.9866391062736511,0.012696571089327336
simlarity_based,SNOMED_TO_NCIT_NEOPLAS,3819.8,0.2,502.8,261.2,0.5085421370766446,0.9992217898832685,0.3418848167539267,0.9508813261985779,0.9185863971710205,0.06264932081103325
simlarity_based,SNOMED_TO_NCIT_PHARM,5809.8,0.2,784.8,377.2,0.48364460874819015,0.9995249406175771,0.32461273666092944,0.9711445927619934,0.9519793391227722,0.05380460396409035
structural_based,NCIT_TO_DOID,4433.6,256.4,96.4,841.6,0.826797211029121,0.7668753564131374,0.8972281449893391,0.960852861404419,0.9339019060134888,0.05444132685661316
structural_based,OMIM_TO_ORDO,3608.6,121.4,223.2,522.8,0.7513477342689868,0.8133887884426843,0.7008042895442359,0.8934003710746765,0.8257372856140137,0.10919477343559265
structural_based,SNOMED_TO_FMA_BODY,7025.6,234.4,302.0,1150.0,0.8084105172176322,0.8310279350011974,0.7920110192837465,0.9681864023208618,0.9417355418205261,0.047952106967568395
structural_based,SNOMED_TO_NCIT_NEOPLAS,3645.4,174.6,138.4,625.6,0.7991156110733884,0.7835782015492863,0.8188481675392669,0.9517495632171631,0.91439790725708,0.059861906617879865
structural_based,SNOMED_TO_NCIT_PHARM,5403.6,406.4,122.4,1039.6,0.7971770693748211,0.7189896812032719,0.8946643717728054,0.9560786128044129,0.9222030997276306,0.05674014613032341
uniform_based,NCIT_TO_DOID,4378.6,311.4,86.8,851.2,0.8104289948083844,0.7321697852949198,0.9074626865671641,0.9613965749740601,0.9309168457984924,0.04478790313005447
uniform_based,OMIM_TO_ORDO,3486.0,244.0,198.0,548.0,0.7126807317188546,0.692644707640895,0.7345844504021448,0.8882305741310119,0.8099195718765259,0.09944893270730973
uniform_based,SNOMED_TO_FMA_BODY,7075.0,185.0,272.0,1180.0,0.8325067797674306,0.8625354001221277,0.8126721763085399,0.9742883205413818,0.9519283771514893,0.037951039150357246
uniform_based,SNOMED_TO_NCIT_NEOPLAS,3664.6,155.4,124.4,639.6,0.8205342517565539,0.8046795016617996,0.83717277486911,0.9575610518455505,0.9248691082000733,0.048767450451850894
uniform_based,SNOMED_TO_NCIT_PHARM,5318.8,491.2,118.0,1044.0,0.7847834310515255,0.7082951116684862,0.8984509466437178,0.9505421876907348,0.9115318536758423,0.06136261522769928
